Author,Review Date,Rating,Title,Review Text,Date of Stay,Trip Type
Jinky S,Mar 2023,5.0 of 5 bubbles,Worth it,"Sa gawas mi nangaon since puno ang sud... Breakfast foods are delicious, lami tanan pagkaon labi na ang salad og ang mga sweets...  had fun overall experience. Sunod napud mangari mi sakong mga amega .",March 2023,NA
Jenny N,Mar 2023,5.0 of 5 bubbles,Excellent,The foods and services are excellent . And the employees are very accomodating and friendly. The lobby has a very relaxing aroma and the free cookies are very good . Over-all its excellent andI  might recommend it to others,February 2023,NA
Justine D,Mar 2023,5.0 of 5 bubbles,WORTH IT,"went and eat at their unli dimsum! Team II cafe have beeen really accommodating. Thank you to Plisken and their staffs, namely, Pherie Juu, joseph, vilma, and their OJTs: Paul, Ryan, Sham, and Lemon. It’s beeen GREAT eating here!!!",March 2023,NA
Curious30518869465,Mar 2023,5.0 of 5 bubbles,Dimsum Lunch,"The dimsum was served on the tables and was delicious. Special Thanks to the staff at Team H Cafe for being pleasant and approachable. Staff was formal and was quick to attend to any needs, as well as refills that we may need.",March 2023,NA
Ivy Daisy T,Mar 2023,4.0 of 5 bubbles,Clean rooms courteous staff.,The room is quite big and tidy.  Strategic location. Just few minutes ride to malls. I also appreciate the courtesy of the hotel staff especially Rona and Michie who came to clean the room during my stay. Thank you,March 2023,NA
Jinky S,Mar 2023,5.0 of 5 bubbles,Worth it,"Sa gawas mi nangaon since puno ang sud... Breakfast foods are delicious, lami tanan pagkaon labi na ang salad og ang mga sweets...  had fun overall experience. Sunod napud mangari mi sakong mga amega .",March 2023,NA
Jenny N,Mar 2023,5.0 of 5 bubbles,Excellent,The foods and services are excellent . And the employees are very accomodating and friendly. The lobby has a very relaxing aroma and the free cookies are very good . Over-all its excellent andI  might recommend it to others,February 2023,NA
Earla C,Feb 2023,5.0 of 5 bubbles,Feedback Food,John lemon is very accommodating he deserves to work regularly in your hotel. He is also good looking and needs to work in your hotel. The food is amazing and the bacon is good….. Thank you. You need to absorb him and give daily allowance since he currently as an ojt,February 2023,NA
Shanti S,Feb 2023,5.0 of 5 bubbles,H- CAFE TEAM 10/10,"the service was excellent and the staffs were friendly, very accommodating and I really recommend to absorb john lemon as one of your staffs. The food amazing and well done.I hope these staffs has an allowance for their services.",February 2023,NA
JUNETTE A,Feb 2023,5.0 of 5 bubbles,Feeling the love,"Feeling loved with the services rendered by the  staff headed by the Banquet Supervisor sir Joepher together with the courteous server Anita, Joyce, Karen and Flor. Thank you for taking good care of the school heads of Region 7🥰",February 2023,NA
Moi,Feb 2023,5.0 of 5 bubbles,Training for Teachers,"Good service, very accommodating and responsive staff, clean room, and good food are the things we enjoyed during our 5-day stay at the hotel. Would definitely recommend the hotel for events like trainings.",February 2023,NA
GP C,Feb 2023,5.0 of 5 bubbles,Team H Cafe,"The food is great. The staff are accomodating. The ambient place gets better over the years.  Would be best of there are more choices of food served. Other than those, the over all experience was indeed a pleasurable one",February 2023,NA
Carl Tesaluna,Feb 2023,5.0 of 5 bubbles,Awesome experience and great staff,"The staff are very accomodating. We received amazing welcome from staff members like Sir Plisken, Joseph, Jun, Jason.. the team was quick to respond to our needs and especially Lemon and Genesa. Planning to go back here next month. We can't wait!",February 2023,NA
Romena A,Feb 2023,5.0 of 5 bubbles,COME AND DINE AT HCAFE!,"Had the best experience when we went to dine at H Cafe. The food is very affordable and delicious and the staffs are very accomodating, professional, presentable, and very polite. Shout out to the HCAFE TEAM: Sup. Plisken, the staffs: Vilma, Jim, Lemon, and Eman. Keep up the good work!",February 2023,NA
Kristine T,Feb 2023,5.0 of 5 bubbles,Breakfast buffet was scrumptious!,"They serve Filipino breakfast with a delectable selection. The restaurant is organized and clean. The staff (Lemon, Eman, Jun, Joseph) and their Manager Plisken were very attentive! Overall a wonderful experience!",February 2023,NA
Adrian V,Feb 2023,5.0 of 5 bubbles,HCafe Team,"Kudos to Hcafe Team, especially to Lemon and Eman! The service is very attentive and very approachable, quick response and very friendly! Deserve to be absorbed! Good start being an OJT, have the skills that the hospitality industry must have!",February 2023,NA
Deborah C,Feb 2023,5.0 of 5 bubbles,Hotel Review,"Our stay here at Harolds hotel was great! All the staff are so accommodating and friendly especially the OJT’s, Gen, Emman and Lemon. They we’re funny too! I also took a photo of them.  We’ll definitely recommend and stay here soon!",February 2023,NA
Earla C,Feb 2023,5.0 of 5 bubbles,Feedback Food,John lemon is very accommodating he deserves to work regularly in your hotel. He is also good looking and needs to work in your hotel. The food is amazing and the bacon is good….. Thank you. You need to absorb him and give daily allowance since he currently as an ojt,February 2023,NA
Shanti S,Feb 2023,5.0 of 5 bubbles,H- CAFE TEAM 10/10,"the service was excellent and the staffs were friendly, very accommodating and I really recommend to absorb john lemon as one of your staffs. The food amazing and well done.I hope these staffs has an allowance for their services.",February 2023,NA
JUNETTE A,Feb 2023,5.0 of 5 bubbles,Feeling the love,"Feeling loved with the services rendered by the  staff headed by the Banquet Supervisor sir Joepher together with the courteous server Anita, Joyce, Karen and Flor. Thank you for taking good care of the school heads of Region 7🥰",February 2023,NA
Moi,Feb 2023,5.0 of 5 bubbles,Training for Teachers,"Good service, very accommodating and responsive staff, clean room, and good food are the things we enjoyed during our 5-day stay at the hotel. Would definitely recommend the hotel for events like trainings.",February 2023,NA
GP C,Feb 2023,5.0 of 5 bubbles,Team H Cafe,"The food is great. The staff are accomodating. The ambient place gets better over the years.  Would be best of there are more choices of food served. Other than those, the over all experience was indeed a pleasurable one",February 2023,NA
Carl Tesaluna,Feb 2023,5.0 of 5 bubbles,Awesome experience and great staff,"The staff are very accomodating. We received amazing welcome from staff members like Sir Plisken, Joseph, Jun, Jason.. the team was quick to respond to our needs and especially Lemon and Genesa. Planning to go back here next month. We can't wait!",February 2023,NA
Romena A,Feb 2023,5.0 of 5 bubbles,COME AND DINE AT HCAFE!,"Had the best experience when we went to dine at H Cafe. The food is very affordable and delicious and the staffs are very accomodating, professional, presentable, and very polite. Shout out to the HCAFE TEAM: Sup. Plisken, the staffs: Vilma, Jim, Lemon, and Eman. Keep up the good work!",February 2023,NA
Kristine T,Feb 2023,5.0 of 5 bubbles,Breakfast buffet was scrumptious!,"They serve Filipino breakfast with a delectable selection. The restaurant is organized and clean. The staff (Lemon, Eman, Jun, Joseph) and their Manager Plisken were very attentive! Overall a wonderful experience!",February 2023,NA
Adrian V,Feb 2023,5.0 of 5 bubbles,HCafe Team,"Kudos to Hcafe Team, especially to Lemon and Eman! The service is very attentive and very approachable, quick response and very friendly! Deserve to be absorbed! Good start being an OJT, have the skills that the hospitality industry must have!",February 2023,NA
Deborah C,Feb 2023,5.0 of 5 bubbles,Hotel Review,"Our stay here at Harolds hotel was great! All the staff are so accommodating and friendly especially the OJT’s, Gen, Emman and Lemon. They we’re funny too! I also took a photo of them.  We’ll definitely recommend and stay here soon!",February 2023,NA
Earla C,Feb 2023,5.0 of 5 bubbles,Feedback Food,John lemon is very accommodating he deserves to work regularly in your hotel. He is also good looking and needs to work in your hotel. The food is amazing and the bacon is good….. Thank you. You need to absorb him and give daily allowance since he currently as an ojt,February 2023,NA
Shanti S,Feb 2023,5.0 of 5 bubbles,H- CAFE TEAM 10/10,"the service was excellent and the staffs were friendly, very accommodating and I really recommend to absorb john lemon as one of your staffs. The food amazing and well done.I hope these staffs has an allowance for their services.",February 2023,NA
JUNETTE A,Feb 2023,5.0 of 5 bubbles,Feeling the love,"Feeling loved with the services rendered by the  staff headed by the Banquet Supervisor sir Joepher together with the courteous server Anita, Joyce, Karen and Flor. Thank you for taking good care of the school heads of Region 7🥰",February 2023,NA
Moi,Feb 2023,5.0 of 5 bubbles,Training for Teachers,"Good service, very accommodating and responsive staff, clean room, and good food are the things we enjoyed during our 5-day stay at the hotel. Would definitely recommend the hotel for events like trainings.",February 2023,NA
GP C,Feb 2023,5.0 of 5 bubbles,Team H Cafe,"The food is great. The staff are accomodating. The ambient place gets better over the years.  Would be best of there are more choices of food served. Other than those, the over all experience was indeed a pleasurable one",February 2023,NA
Carl Tesaluna,Feb 2023,5.0 of 5 bubbles,Awesome experience and great staff,"The staff are very accomodating. We received amazing welcome from staff members like Sir Plisken, Joseph, Jun, Jason.. the team was quick to respond to our needs and especially Lemon and Genesa. Planning to go back here next month. We can't wait!",February 2023,NA
Romena A,Feb 2023,5.0 of 5 bubbles,COME AND DINE AT HCAFE!,"Had the best experience when we went to dine at H Cafe. The food is very affordable and delicious and the staffs are very accomodating, professional, presentable, and very polite. Shout out to the HCAFE TEAM: Sup. Plisken, the staffs: Vilma, Jim, Lemon, and Eman. Keep up the good work!",February 2023,NA
Kristine T,Feb 2023,5.0 of 5 bubbles,Breakfast buffet was scrumptious!,"They serve Filipino breakfast with a delectable selection. The restaurant is organized and clean. The staff (Lemon, Eman, Jun, Joseph) and their Manager Plisken were very attentive! Overall a wonderful experience!",February 2023,NA
Adrian V,Feb 2023,5.0 of 5 bubbles,HCafe Team,"Kudos to Hcafe Team, especially to Lemon and Eman! The service is very attentive and very approachable, quick response and very friendly! Deserve to be absorbed! Good start being an OJT, have the skills that the hospitality industry must have!",February 2023,NA
Deborah C,Feb 2023,5.0 of 5 bubbles,Hotel Review,"Our stay here at Harolds hotel was great! All the staff are so accommodating and friendly especially the OJT’s, Gen, Emman and Lemon. They we’re funny too! I also took a photo of them.  We’ll definitely recommend and stay here soon!",February 2023,NA
Earla C,Feb 2023,5.0 of 5 bubbles,Feedback Food,John lemon is very accommodating he deserves to work regularly in your hotel. He is also good looking and needs to work in your hotel. The food is amazing and the bacon is good….. Thank you. You need to absorb him and give daily allowance since he currently as an ojt,February 2023,NA
Shanti S,Feb 2023,5.0 of 5 bubbles,H- CAFE TEAM 10/10,"the service was excellent and the staffs were friendly, very accommodating and I really recommend to absorb john lemon as one of your staffs. The food amazing and well done.I hope these staffs has an allowance for their services.",February 2023,NA
JUNETTE A,Feb 2023,5.0 of 5 bubbles,Feeling the love,"Feeling loved with the services rendered by the  staff headed by the Banquet Supervisor sir Joepher together with the courteous server Anita, Joyce, Karen and Flor. Thank you for taking good care of the school heads of Region 7🥰",February 2023,NA
Moi,Feb 2023,5.0 of 5 bubbles,Training for Teachers,"Good service, very accommodating and responsive staff, clean room, and good food are the things we enjoyed during our 5-day stay at the hotel. Would definitely recommend the hotel for events like trainings.",February 2023,NA
GP C,Feb 2023,5.0 of 5 bubbles,Team H Cafe,"The food is great. The staff are accomodating. The ambient place gets better over the years.  Would be best of there are more choices of food served. Other than those, the over all experience was indeed a pleasurable one",February 2023,NA
Carl Tesaluna,Feb 2023,5.0 of 5 bubbles,Awesome experience and great staff,"The staff are very accomodating. We received amazing welcome from staff members like Sir Plisken, Joseph, Jun, Jason.. the team was quick to respond to our needs and especially Lemon and Genesa. Planning to go back here next month. We can't wait!",February 2023,NA
Romena A,Feb 2023,5.0 of 5 bubbles,COME AND DINE AT HCAFE!,"Had the best experience when we went to dine at H Cafe. The food is very affordable and delicious and the staffs are very accomodating, professional, presentable, and very polite. Shout out to the HCAFE TEAM: Sup. Plisken, the staffs: Vilma, Jim, Lemon, and Eman. Keep up the good work!",February 2023,NA
Kristine T,Feb 2023,5.0 of 5 bubbles,Breakfast buffet was scrumptious!,"They serve Filipino breakfast with a delectable selection. The restaurant is organized and clean. The staff (Lemon, Eman, Jun, Joseph) and their Manager Plisken were very attentive! Overall a wonderful experience!",February 2023,NA
Adrian V,Feb 2023,5.0 of 5 bubbles,HCafe Team,"Kudos to Hcafe Team, especially to Lemon and Eman! The service is very attentive and very approachable, quick response and very friendly! Deserve to be absorbed! Good start being an OJT, have the skills that the hospitality industry must have!",February 2023,NA
Deborah C,Feb 2023,5.0 of 5 bubbles,Hotel Review,"Our stay here at Harolds hotel was great! All the staff are so accommodating and friendly especially the OJT’s, Gen, Emman and Lemon. They we’re funny too! I also took a photo of them.  We’ll definitely recommend and stay here soon!",February 2023,NA
Earla C,Feb 2023,5.0 of 5 bubbles,Feedback Food,John lemon is very accommodating he deserves to work regularly in your hotel. He is also good looking and needs to work in your hotel. The food is amazing and the bacon is good….. Thank you. You need to absorb him and give daily allowance since he currently as an ojt,February 2023,NA
Shanti S,Feb 2023,5.0 of 5 bubbles,H- CAFE TEAM 10/10,"the service was excellent and the staffs were friendly, very accommodating and I really recommend to absorb john lemon as one of your staffs. The food amazing and well done.I hope these staffs has an allowance for their services.",February 2023,NA
JUNETTE A,Feb 2023,5.0 of 5 bubbles,Feeling the love,"Feeling loved with the services rendered by the  staff headed by the Banquet Supervisor sir Joepher together with the courteous server Anita, Joyce, Karen and Flor. Thank you for taking good care of the school heads of Region 7🥰",February 2023,NA
Moi,Feb 2023,5.0 of 5 bubbles,Training for Teachers,"Good service, very accommodating and responsive staff, clean room, and good food are the things we enjoyed during our 5-day stay at the hotel. Would definitely recommend the hotel for events like trainings.",February 2023,NA
GP C,Feb 2023,5.0 of 5 bubbles,Team H Cafe,"The food is great. The staff are accomodating. The ambient place gets better over the years.  Would be best of there are more choices of food served. Other than those, the over all experience was indeed a pleasurable one",February 2023,NA
Carl Tesaluna,Feb 2023,5.0 of 5 bubbles,Awesome experience and great staff,"The staff are very accomodating. We received amazing welcome from staff members like Sir Plisken, Joseph, Jun, Jason.. the team was quick to respond to our needs and especially Lemon and Genesa. Planning to go back here next month. We can't wait!",February 2023,NA
Romena A,Feb 2023,5.0 of 5 bubbles,COME AND DINE AT HCAFE!,"Had the best experience when we went to dine at H Cafe. The food is very affordable and delicious and the staffs are very accomodating, professional, presentable, and very polite. Shout out to the HCAFE TEAM: Sup. Plisken, the staffs: Vilma, Jim, Lemon, and Eman. Keep up the good work!",February 2023,NA
Kristine T,Feb 2023,5.0 of 5 bubbles,Breakfast buffet was scrumptious!,"They serve Filipino breakfast with a delectable selection. The restaurant is organized and clean. The staff (Lemon, Eman, Jun, Joseph) and their Manager Plisken were very attentive! Overall a wonderful experience!",February 2023,NA
Adrian V,Feb 2023,5.0 of 5 bubbles,HCafe Team,"Kudos to Hcafe Team, especially to Lemon and Eman! The service is very attentive and very approachable, quick response and very friendly! Deserve to be absorbed! Good start being an OJT, have the skills that the hospitality industry must have!",February 2023,NA
Deborah C,Feb 2023,5.0 of 5 bubbles,Hotel Review,"Our stay here at Harolds hotel was great! All the staff are so accommodating and friendly especially the OJT’s, Gen, Emman and Lemon. They we’re funny too! I also took a photo of them.  We’ll definitely recommend and stay here soon!",February 2023,NA
Earla C,Feb 2023,5.0 of 5 bubbles,Feedback Food,John lemon is very accommodating he deserves to work regularly in your hotel. He is also good looking and needs to work in your hotel. The food is amazing and the bacon is good….. Thank you. You need to absorb him and give daily allowance since he currently as an ojt,February 2023,NA
Shanti S,Feb 2023,5.0 of 5 bubbles,H- CAFE TEAM 10/10,"the service was excellent and the staffs were friendly, very accommodating and I really recommend to absorb john lemon as one of your staffs. The food amazing and well done.I hope these staffs has an allowance for their services.",February 2023,NA
JUNETTE A,Feb 2023,5.0 of 5 bubbles,Feeling the love,"Feeling loved with the services rendered by the  staff headed by the Banquet Supervisor sir Joepher together with the courteous server Anita, Joyce, Karen and Flor. Thank you for taking good care of the school heads of Region 7🥰",February 2023,NA
Moi,Feb 2023,5.0 of 5 bubbles,Training for Teachers,"Good service, very accommodating and responsive staff, clean room, and good food are the things we enjoyed during our 5-day stay at the hotel. Would definitely recommend the hotel for events like trainings.",February 2023,NA
GP C,Feb 2023,5.0 of 5 bubbles,Team H Cafe,"The food is great. The staff are accomodating. The ambient place gets better over the years.  Would be best of there are more choices of food served. Other than those, the over all experience was indeed a pleasurable one",February 2023,NA
Carl Tesaluna,Feb 2023,5.0 of 5 bubbles,Awesome experience and great staff,"The staff are very accomodating. We received amazing welcome from staff members like Sir Plisken, Joseph, Jun, Jason.. the team was quick to respond to our needs and especially Lemon and Genesa. Planning to go back here next month. We can't wait!",February 2023,NA
Romena A,Feb 2023,5.0 of 5 bubbles,COME AND DINE AT HCAFE!,"Had the best experience when we went to dine at H Cafe. The food is very affordable and delicious and the staffs are very accomodating, professional, presentable, and very polite. Shout out to the HCAFE TEAM: Sup. Plisken, the staffs: Vilma, Jim, Lemon, and Eman. Keep up the good work!",February 2023,NA
Kristine T,Feb 2023,5.0 of 5 bubbles,Breakfast buffet was scrumptious!,"They serve Filipino breakfast with a delectable selection. The restaurant is organized and clean. The staff (Lemon, Eman, Jun, Joseph) and their Manager Plisken were very attentive! Overall a wonderful experience!",February 2023,NA
Adrian V,Feb 2023,5.0 of 5 bubbles,HCafe Team,"Kudos to Hcafe Team, especially to Lemon and Eman! The service is very attentive and very approachable, quick response and very friendly! Deserve to be absorbed! Good start being an OJT, have the skills that the hospitality industry must have!",February 2023,NA
Deborah C,Feb 2023,5.0 of 5 bubbles,Hotel Review,"Our stay here at Harolds hotel was great! All the staff are so accommodating and friendly especially the OJT’s, Gen, Emman and Lemon. They we’re funny too! I also took a photo of them.  We’ll definitely recommend and stay here soon!",February 2023,NA
Earla C,Feb 2023,5.0 of 5 bubbles,Feedback Food,John lemon is very accommodating he deserves to work regularly in your hotel. He is also good looking and needs to work in your hotel. The food is amazing and the bacon is good….. Thank you. You need to absorb him and give daily allowance since he currently as an ojt,February 2023,NA
Shanti S,Feb 2023,5.0 of 5 bubbles,H- CAFE TEAM 10/10,"the service was excellent and the staffs were friendly, very accommodating and I really recommend to absorb john lemon as one of your staffs. The food amazing and well done.I hope these staffs has an allowance for their services.",February 2023,NA
JUNETTE A,Feb 2023,5.0 of 5 bubbles,Feeling the love,"Feeling loved with the services rendered by the  staff headed by the Banquet Supervisor sir Joepher together with the courteous server Anita, Joyce, Karen and Flor. Thank you for taking good care of the school heads of Region 7🥰",February 2023,NA
Moi,Feb 2023,5.0 of 5 bubbles,Training for Teachers,"Good service, very accommodating and responsive staff, clean room, and good food are the things we enjoyed during our 5-day stay at the hotel. Would definitely recommend the hotel for events like trainings.",February 2023,NA
GP C,Feb 2023,5.0 of 5 bubbles,Team H Cafe,"The food is great. The staff are accomodating. The ambient place gets better over the years.  Would be best of there are more choices of food served. Other than those, the over all experience was indeed a pleasurable one",February 2023,NA
Carl Tesaluna,Feb 2023,5.0 of 5 bubbles,Awesome experience and great staff,"The staff are very accomodating. We received amazing welcome from staff members like Sir Plisken, Joseph, Jun, Jason.. the team was quick to respond to our needs and especially Lemon and Genesa. Planning to go back here next month. We can't wait!",February 2023,NA
Romena A,Feb 2023,5.0 of 5 bubbles,COME AND DINE AT HCAFE!,"Had the best experience when we went to dine at H Cafe. The food is very affordable and delicious and the staffs are very accomodating, professional, presentable, and very polite. Shout out to the HCAFE TEAM: Sup. Plisken, the staffs: Vilma, Jim, Lemon, and Eman. Keep up the good work!",February 2023,NA
Kristine T,Feb 2023,5.0 of 5 bubbles,Breakfast buffet was scrumptious!,"They serve Filipino breakfast with a delectable selection. The restaurant is organized and clean. The staff (Lemon, Eman, Jun, Joseph) and their Manager Plisken were very attentive! Overall a wonderful experience!",February 2023,NA
Adrian V,Feb 2023,5.0 of 5 bubbles,HCafe Team,"Kudos to Hcafe Team, especially to Lemon and Eman! The service is very attentive and very approachable, quick response and very friendly! Deserve to be absorbed! Good start being an OJT, have the skills that the hospitality industry must have!",February 2023,NA
Deborah C,Feb 2023,5.0 of 5 bubbles,Hotel Review,"Our stay here at Harolds hotel was great! All the staff are so accommodating and friendly especially the OJT’s, Gen, Emman and Lemon. They we’re funny too! I also took a photo of them.  We’ll definitely recommend and stay here soon!",February 2023,NA
Aldee M,Dec 2022,5.0 of 5 bubbles,Superb Service,"My family had a very short stay in this hotel. However, we had a very pleasant stay and the service, specially in their buffet is superb. Special mention to their supervisor Plisken, their staffs, Vilma and Jun. And their oitstanding OJTs, Riel, Ana Marie, Jackie and Rodito.",December 2022,NA
Opalyn Jill R,Dec 2022,5.0 of 5 bubbles,Breakfast Buffet Experience,Had breakfast buffet today and the food was great. Very good customer service for H Cafe Team specifically to Riel; very hands on and very friendly. He went above and beyond with his service. Satisfied customer here.,December 2022,NA
christine t,Dec 2022,5.0 of 5 bubbles,Team H-Cafe,"Staffs are friendly and accommodating. Food is amazing. The facility and room is clean with complete aminities. Vicinity is quite and accessible to malls. thank you maams and sirs plisken, jason, jun, dhanica, ana, john Michael, epbrahim, rodito and anna marie.",December 2022,NA
Lucy L,Dec 2022,5.0 of 5 bubbles,"Thank you, HCafe Team!","We had a great experience! My friend celebrated his birthday recently at Harolds and the staff made sure to sing him the birthday song!!! They have great initiative and my friend felt really special.With great thanks to Jason and Vilma as well as the OJT staffs (Dhanica, Ana Marie, Jackie, John Michael, Ebprahim and Rodito)! 🎄",November 2022,NA
Bea B,Dec 2022,5.0 of 5 bubbles,Hcafe Dinner - Christmas Eve Dinner,"The ambience of the place is very well maintained, the staff as well are very professional and very attending to its guests specifically Joseph, Plisken, Jackie, Marie and Jun were attending to us during our stay.",December 2022,NA
Mara B,Dec 2022,5.0 of 5 bubbles,Christmas Eve Dinner,Good food and staff.,December 2022,NA
Lynn Ana Maria L,Dec 2022,5.0 of 5 bubbles,CHRISTMAS EVE DINNER BUFFET,"HCafe dinner buffet is nice. Main servers Joseph, Plisken, Jackie, Marie and Jun are all great as well. Definitely a good experience if you are with your loved ones and family members. 🌲🎁🎊🥳😘💕💞🎊",December 2022,NA
Franchelou Mari... T,Dec 2022,5.0 of 5 bubbles,Superb experience for my team!,The food at HCafe was good and the staff were very accomodating and helpful. Ive always brought my team here in for team eatings now my on my 3rd company and always a good experience here. Will surely be back next time around.,December 2022,NA
Aldee M,Dec 2022,5.0 of 5 bubbles,Superb Service,"My family had a very short stay in this hotel. However, we had a very pleasant stay and the service, specially in their buffet is superb. Special mention to their supervisor Plisken, their staffs, Vilma and Jun. And their oitstanding OJTs, Riel, Ana Marie, Jackie and Rodito.",December 2022,NA
Opalyn Jill R,Dec 2022,5.0 of 5 bubbles,Breakfast Buffet Experience,Had breakfast buffet today and the food was great. Very good customer service for H Cafe Team specifically to Riel; very hands on and very friendly. He went above and beyond with his service. Satisfied customer here.,December 2022,NA
christine t,Dec 2022,5.0 of 5 bubbles,Team H-Cafe,"Staffs are friendly and accommodating. Food is amazing. The facility and room is clean with complete aminities. Vicinity is quite and accessible to malls. thank you maams and sirs plisken, jason, jun, dhanica, ana, john Michael, epbrahim, rodito and anna marie.",December 2022,NA
Lucy L,Dec 2022,5.0 of 5 bubbles,"Thank you, HCafe Team!","We had a great experience! My friend celebrated his birthday recently at Harolds and the staff made sure to sing him the birthday song!!! They have great initiative and my friend felt really special.With great thanks to Jason and Vilma as well as the OJT staffs (Dhanica, Ana Marie, Jackie, John Michael, Ebprahim and Rodito)! 🎄",November 2022,NA
Bea B,Dec 2022,5.0 of 5 bubbles,Hcafe Dinner - Christmas Eve Dinner,"The ambience of the place is very well maintained, the staff as well are very professional and very attending to its guests specifically Joseph, Plisken, Jackie, Marie and Jun were attending to us during our stay.",December 2022,NA
Mara B,Dec 2022,5.0 of 5 bubbles,Christmas Eve Dinner,Good food and staff.,December 2022,NA
Lynn Ana Maria L,Dec 2022,5.0 of 5 bubbles,CHRISTMAS EVE DINNER BUFFET,"HCafe dinner buffet is nice. Main servers Joseph, Plisken, Jackie, Marie and Jun are all great as well. Definitely a good experience if you are with your loved ones and family members. 🌲🎁🎊🥳😘💕💞🎊",December 2022,NA
Franchelou Mari... T,Dec 2022,5.0 of 5 bubbles,Superb experience for my team!,The food at HCafe was good and the staff were very accomodating and helpful. Ive always brought my team here in for team eatings now my on my 3rd company and always a good experience here. Will surely be back next time around.,December 2022,NA
Aldee M,Dec 2022,5.0 of 5 bubbles,Superb Service,"My family had a very short stay in this hotel. However, we had a very pleasant stay and the service, specially in their buffet is superb. Special mention to their supervisor Plisken, their staffs, Vilma and Jun. And their oitstanding OJTs, Riel, Ana Marie, Jackie and Rodito.",December 2022,NA
Opalyn Jill R,Dec 2022,5.0 of 5 bubbles,Breakfast Buffet Experience,Had breakfast buffet today and the food was great. Very good customer service for H Cafe Team specifically to Riel; very hands on and very friendly. He went above and beyond with his service. Satisfied customer here.,December 2022,NA
christine t,Dec 2022,5.0 of 5 bubbles,Team H-Cafe,"Staffs are friendly and accommodating. Food is amazing. The facility and room is clean with complete aminities. Vicinity is quite and accessible to malls. thank you maams and sirs plisken, jason, jun, dhanica, ana, john Michael, epbrahim, rodito and anna marie.",December 2022,NA
Lucy L,Dec 2022,5.0 of 5 bubbles,"Thank you, HCafe Team!","We had a great experience! My friend celebrated his birthday recently at Harolds and the staff made sure to sing him the birthday song!!! They have great initiative and my friend felt really special.With great thanks to Jason and Vilma as well as the OJT staffs (Dhanica, Ana Marie, Jackie, John Michael, Ebprahim and Rodito)! 🎄",November 2022,NA
Bea B,Dec 2022,5.0 of 5 bubbles,Hcafe Dinner - Christmas Eve Dinner,"The ambience of the place is very well maintained, the staff as well are very professional and very attending to its guests specifically Joseph, Plisken, Jackie, Marie and Jun were attending to us during our stay.",December 2022,NA
Mara B,Dec 2022,5.0 of 5 bubbles,Christmas Eve Dinner,Good food and staff.,December 2022,NA
Lynn Ana Maria L,Dec 2022,5.0 of 5 bubbles,CHRISTMAS EVE DINNER BUFFET,"HCafe dinner buffet is nice. Main servers Joseph, Plisken, Jackie, Marie and Jun are all great as well. Definitely a good experience if you are with your loved ones and family members. 🌲🎁🎊🥳😘💕💞🎊",December 2022,NA
Franchelou Mari... T,Dec 2022,5.0 of 5 bubbles,Superb experience for my team!,The food at HCafe was good and the staff were very accomodating and helpful. Ive always brought my team here in for team eatings now my on my 3rd company and always a good experience here. Will surely be back next time around.,December 2022,NA
Aldee M,Dec 2022,5.0 of 5 bubbles,Superb Service,"My family had a very short stay in this hotel. However, we had a very pleasant stay and the service, specially in their buffet is superb. Special mention to their supervisor Plisken, their staffs, Vilma and Jun. And their oitstanding OJTs, Riel, Ana Marie, Jackie and Rodito.",December 2022,NA
Opalyn Jill R,Dec 2022,5.0 of 5 bubbles,Breakfast Buffet Experience,Had breakfast buffet today and the food was great. Very good customer service for H Cafe Team specifically to Riel; very hands on and very friendly. He went above and beyond with his service. Satisfied customer here.,December 2022,NA
christine t,Dec 2022,5.0 of 5 bubbles,Team H-Cafe,"Staffs are friendly and accommodating. Food is amazing. The facility and room is clean with complete aminities. Vicinity is quite and accessible to malls. thank you maams and sirs plisken, jason, jun, dhanica, ana, john Michael, epbrahim, rodito and anna marie.",December 2022,NA
Lucy L,Dec 2022,5.0 of 5 bubbles,"Thank you, HCafe Team!","We had a great experience! My friend celebrated his birthday recently at Harolds and the staff made sure to sing him the birthday song!!! They have great initiative and my friend felt really special.With great thanks to Jason and Vilma as well as the OJT staffs (Dhanica, Ana Marie, Jackie, John Michael, Ebprahim and Rodito)! 🎄",November 2022,NA
Bea B,Dec 2022,5.0 of 5 bubbles,Hcafe Dinner - Christmas Eve Dinner,"The ambience of the place is very well maintained, the staff as well are very professional and very attending to its guests specifically Joseph, Plisken, Jackie, Marie and Jun were attending to us during our stay.",December 2022,NA
Mara B,Dec 2022,5.0 of 5 bubbles,Christmas Eve Dinner,Good food and staff.,December 2022,NA
Lynn Ana Maria L,Dec 2022,5.0 of 5 bubbles,CHRISTMAS EVE DINNER BUFFET,"HCafe dinner buffet is nice. Main servers Joseph, Plisken, Jackie, Marie and Jun are all great as well. Definitely a good experience if you are with your loved ones and family members. 🌲🎁🎊🥳😘💕💞🎊",December 2022,NA
Franchelou Mari... T,Dec 2022,5.0 of 5 bubbles,Superb experience for my team!,The food at HCafe was good and the staff were very accomodating and helpful. Ive always brought my team here in for team eatings now my on my 3rd company and always a good experience here. Will surely be back next time around.,December 2022,NA
Glen E,Dec 2022,5.0 of 5 bubbles,HCafe Team,We are a fan of Harolds buffet even before pandemic. We still love the food and of course the hospitality of the HCafe Staff. We always look forward to coming back here at Harolds Cafe! Thank you to Supervisor Plisken!,December 2022,NA
